#1=α 2=αD 3=σ 4=dq 5=qh 6=dp 7=dph 8=pd 9=dpdh 10=m 11=mh 
30.0 0.008174009999999999 sign 0.00038295190336717943 144700.62382024774 0.003718569918535815 0.638219451735032 96.29184712937813 39.45448602530089 6.417190423593594e-8 0.0001572331257597396
29.0 0.00816601 sign 0.00039573806283388086 140173.68093859218 0.0038428869169311484 0.6382730663145461 96.3685391763414 39.49235893523542 7.468140966183681e-8 0.0001782366100664407
26.0 0.008136009999999999 sign 0.0004396655062364691 126666.56282199905 0.004270642754115423 0.6384575989790583 96.65997770335 39.6339962330795 8.301644237576942e-8 0.0001783369144555028
25.0 0.00812401 sign 0.0004565339506529149 122178.26527026753 0.004435083271538206 0.638528562267475 96.77758916170313 39.690759595763076 8.62534929928267e-8 0.000178445919521975
23.0 0.00809801 sign 0.0004945345114664861 113177.23453690497 0.004805425136062543 0.6386884412575996 97.03269631661468 39.814702208931436 9.372414861470524e-8 0.00017900465464693586
22.0 0.00808301 sign 0.0005159919075511863 108685.51337885275 0.005014710838489551 0.6387788226412058 97.18090579845206 39.88644659335076 9.777949782477943e-8 0.00017898573466581475
21.0 0.00806701 sign 0.0005394188968385419 104185.79624577142 0.005243177052065727 0.6388775171776614 97.33926336574815 39.96340879259914 1.0208014055727972e-7 0.00017874444121285222
19.0 0.008030009999999999 sign 0.000593278802363488 95193.84286895438 0.005768768812549133 0.6391046740200665 97.70806488524028 40.142471062947656 1.1228920751429759e-7 0.00017877468118460864
18.0 0.00800901 sign 0.0006244855778167899 90690.70789623939 0.006073334390210445 0.6392363781106288 97.9184935976327 40.24500360456352 1.1844142414863407e-7 0.0001791483764640892
17.0 0.007985009999999999 sign 0.0006591061741994174 86202.61523199364 0.0064115978328953445 0.6393827088011025 98.16098415336126 40.362563694559924 1.2454034966144773e-7 0.00017848131326944026
16.0 0.00795801 sign 0.0006977765131815604 81719.8283765436 0.006789702419736208 0.6395463473233607 98.43569592228071 40.495588963758884 1.320098305995389e-7 0.00017870446568180444
13.0 0.00785601 sign 0.0008470519060737208 68252.21065756396 0.0082503644860197 0.6401792632257916 99.48841401468304 41.00721505042723 1.603845576812306e-7 0.0001788643417092514
12.0 0.007811009999999999 sign 0.0009120381547770031 63778.28875017382 0.008887486409565364 0.6404556960708815 99.96208221847539 41.236927849007614 1.7276340668762065e-7 0.0001789460732195823
11.0 0.007759009999999999 sign 0.0009878874176568724 59302.43549059133 0.009631622699175337 0.6407788501504471 100.51575322791119 41.50588804861368 1.8753975129783303e-7 0.00017934235528160365
10.0 0.00769701 sign 0.0010774301735541106 54840.556763976296 0.010511504282234956 0.6411613414560698 101.18617598310388 41.83105657488196 2.047398915215252e-7 0.00017952599329304424
9.5 0.0076620099999999995 sign 0.0011286395163520846 52607.30013762386 0.011014975240071428 0.6413804032189526 101.56898109268666 42.01711987894069 2.1492538506591882e-7 0.00017991012602050933
9.0 0.0076230099999999995 sign 0.0011848888924712183 50382.806662546114 0.011568781718036774 0.6416215203403771 102.00016243062565 42.22622514658083 2.2582510619341837e-7 0.00018006471947721195
8.0 0.00753301 sign 0.001316243925682903 45932.21362650298 0.012863201930906757 0.6421857670408923 103.011130747487 42.71745183197229 2.5046398829635787e-7 0.00017979063049854485
7.5 0.00748001 sign 0.001393481634786539 43713.57855155403 0.013625586827874578 0.6425185304553056 103.61785784175557 43.0122085578538 2.6600206209206125e-7 0.00018036668755412496
7.0 0.0074200099999999995 sign 0.0014802863231650825 41504.06454610711 0.0144838355386743 0.6428935148634326 104.3155101906791 43.35077661384027 2.823167831264895e-7 0.00018021067631601606
6.5 0.00735201 sign 0.0015786335858217404 39301.04422984064 0.0154576821054444 0.6433195012726997 105.11986751857248 43.74113610109106 3.0084318276864724e-7 0.0001800809637478654
5.5 0.0071850099999999995 sign 0.0018206824019337013 34917.97458065998 0.017860869413456305 0.6443729857990513 107.15906562346214 44.73122105373926 3.484850514810059e-7 0.00018088683754200155
5.0 0.0070810099999999996 sign 0.00197199485040089 32741.49951575916 0.019367696339442957 0.6450351867598972 108.4768535639019 45.37149845397258 3.7608484067439715e-7 0.0001802465901507254
4.5 0.00695701 sign 0.0021504740988091027 30591.387622696122 0.021151596249222346 0.6458207575522308 110.10042221481415 46.1592444142394 4.114196037256799e-7 0.0001808321441835763
4.0 0.00680901 sign 0.002364809852191212 28459.5271129936 0.02330033672559679 0.64676938212441 112.11416539422959 47.137317740754 4.538610767093881e-7 0.00018142474139567707
3.5 0.006628009999999999 sign 0.002626704425242564 26362.68662100245 0.025937506220146147 0.6479371755225679 114.69835834284622 48.392594302530185 5.058690111348654e-7 0.000182076121942254
3.0 0.0064010099999999995 sign 0.002953775821630062 24322.25323068722 0.02925103090805255 0.6494099853937862 118.14514378035246 50.06646864208773 5.691892939107794e-7 0.0001822128244582013
2.5 0.00610901 sign 0.003374328609898077 22364.81787492001 0.0335441156709421 0.6513274040208457 122.9525523099123 52.401987453873524 6.525129245341525e-7 0.00018289400875620481
